id;feature;subject;content;received_date;status;read
1;Rustic Throughway;1080p;systematic Switzerland Granite;2023-03-21T15:21:43;true;false
2;viral Executive invoice;payment;payment District;2023-03-21T15:48:01;true;true
3;partnerships Virtual Strategist;stable Intelligent;alarm compressing;2023-03-21T13:39:03;false;true
4;payment Health parallelism;Health technologies;Table;2023-03-21T21:33:43;true;true
5;Jewelery;Spur Ameliorated;Chair workforce non-volatile;2023-03-21T17:03:12;false;true
6;mobile Skyway bluetooth;Myanmar architectures bandwidth;infrastructures;2023-03-21T19:16:13;false;true
7;Account Borders Barbados;Forward circuit Home;program Mexican;2023-03-22T04:36:40;false;false
8;navigate override;GB Avon;payment;2023-03-21T22:53:20;false;true
9;multi-byte;partnerships;Ball Executive;2023-03-22T01:33:02;true;false
10;Handcrafted sticky Configurable;payment;Franc real-time;2023-03-22T00:39:17;true;false
