id;subject;content;received_date;deadline;status;recipient;read
1;innovate California;Generic architectures Concrete;2023-03-21T21:59:36;2023-03-21T14:22:44;archive Rubber California;Borders RAM Brand;true
2;fuchsia;COM;2023-03-22T02:48:00;2023-03-21T14:40:31;Keyboard Account users;invoice hack Configuration;true
3;monitor;Avon virtual;2023-03-22T10:39:18;2023-03-21T17:49:16;hierarchy THX client-server;Card;true
4;Generic;Director Cameroon;2023-03-22T05:17:25;2023-03-21T16:40:45;revolutionize;Future-proofed Internal Borders;false
5;Shirt extranet;Delaware Representative vortals;2023-03-22T02:18:45;2023-03-22T05:36:21;set;intuitive Producer;false
6;Planner;synthesize;2023-03-21T16:08:07;2023-03-21T14:02:35;invoice unleash;Handcrafted Vista Home;false
7;matrix Chicken;markets;2023-03-22T06:57:19;2023-03-22T08:58:57;frame;Loan;false
8;Health Assistant Stream;Arkansas;2023-03-22T03:01:08;2023-03-21T14:22:04;Metal 1080p;Bike 5th;false
9;Communications Implementation copy;transmitting withdrawal calculate;2023-03-21T13:54:44;2023-03-21T16:40:35;orange SAS Money;innovative Cheese transmit;true
10;Bedfordshire Designer Coordinator;Canadian Account;2023-03-21T12:02:28;2023-03-22T11:13:19;channels Quality;THX Quetzal;true
